;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Rating;Score;Accuracy;Moves;Date;;Game_id;Black;White;Resoult;Accuracy;Moves;Rating;Date;;My_rating;Opponent_rating;;;;;;;
Shafiq123455(1151);0;62.1;48;09.cze.22;;1151;Lose;62.1;48;09.06.2022;;Shafiq123455;Lose;62.1;48;09.06.2022;;Shafiq123455;1151;Lose;62.1;48;09.06.2022;;;Shafiq123455;Aviozek;;;;;;;;1151;;;;1009;979;;
Aviozek(1136);1;70.1;;;;1136;Win;70.1;;;;Aviozek;Win;70.1;;;;Aviozek;1136;Win;70.1;;;;;;;;;48;;09.06.2022;;1136;;;;;1018;1023;;
Malko1001(1109);0;72.4;39;09.cze.22;;1109;Lose;72.4;39;09.06.2022;;Malko1001;Lose;72.4;39;09.06.2022;;Malko1001;1109;Lose;72.4;39;09.06.2022;;;Malko1001;Aviozek;;;;;;;;1109;;;;1026;1028;;
Aviozek(1127);1;79.6;;;;1127;Win;79.6;;;;Aviozek;Win;79.6;;;;Aviozek;1127;Win;79.6;;;;;;;;;39;;09.06.2022;;1127;;;;;1034;1001;;
Aviozek(1119);1;84.9;13;09.cze.22;;1119;Win;84.9;13;09.06.2022;;Aviozek;Win;84.9;13;09.06.2022;;Aviozek;1119;Win;84.9;13;09.06.2022;;;Aviozek;Henry153;;;;;;;1119;;;;;1026;1004;;
Henry153(1105);0;63.1;;;;1105;Lose;63.1;;;;Henry153;Lose;63.1;;;;Henry153;1105;Lose;63.1;;;;;;;;;13;;09.06.2022;;;1105;;;;1027;1056;;
GRtrain(1110);1;86.2;42;09.cze.22;;1110;Win;86.2;42;09.06.2022;;GRtrain;Win;86.2;42;09.06.2022;;GRtrain;1110;Win;86.2;42;09.06.2022;;;GRtrain;Aviozek;;;;;;;;1110;;;;1035;1159;;
Aviozek(1110);0;75.1;;;;1110;Lose;75.1;;;;Aviozek;Lose;75.1;;;;Aviozek;1110;Lose;75.1;;;;;;;;;42;;09.06.2022;;1110;;;;;1041;1036;;
Aviozek(1119);0;66;41;09.cze.22;;1119;Lose;66;41;09.06.2022;;Aviozek;Lose;66;41;09.06.2022;;Aviozek;1119;Lose;66;41;09.06.2022;;;Aviozek;Anamgess77;;;;;;;1119;;;;;1049;977;;
Anamgess77(1181);1;70.7;;;;1181;Win;70.7;;;;Anamgess77;Win;70.7;;;;Anamgess77;1181;Win;70.7;;;;;;;;;41;;09.06.2022;;;1181;;;;1042;991;;
